Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Pedaladas totales,Swolf medio,Velocidad media de palada,Pasos,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Estrés medio,Estrés máximo,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Ciclismo en sala,2025-12-10 12:53:28,false,"Ciclismo en sala","0,00","601","01:17:53","--","--","--","--","--","--","--","--","--","--","141","43,0","148","129","208","--","--","--","--","13,0","No","01:17:53","1","18,0","--","--","00:00:00","01:22:08","616","621"
Ciclismo en sala,2025-12-09 08:59:59,false,"Ciclismo en sala","0,00","606","01:17:00","--","--","--","--","--","--","--","--","--","--","145","44,8","156","131","220","--","--","--","--","14,0","No","01:17:00","1","19,0","--","--","00:00:00","01:22:12","614","1.062"
Ciclismo en sala,2025-12-09 08:54:44,false,"Ciclismo en sala","0,00","13","00:05:04,4","--","--","--","--","--","--","--","--","--","--","75","0,7","--","43","141","--","--","--","--","18,0","No","00:05:04,4","1","21,0","--","--","00:00:00","00:05:04,4","619","620"
Ciclismo en sala,2025-12-02 08:02:02,false,"Ciclismo en sala","0,00","230","00:40:02","--","--","--","--","--","--","--","--","--","--","111","13,6","107","96","193","--","--","--","--","10,0","No","00:40:02","1","14,0","--","--","00:00:00","00:44:56","678","681"
Ciclismo en sala,2025-12-01 07:45:30,false,"Ciclismo en sala","0,00","500","01:00:14","--","--","--","--","--","--","--","--","--","--","158","41,7","156","138","299","--","--","--","--","12,0","No","01:00:14","1","15,0","--","--","00:00:00","01:00:14","629","632"
Ciclismo en sala,2025-11-26 08:21:08,false,"Ciclismo en sala","0,00","172","00:29:11","134","151","--","--","--","--","--","--","--","--","111","9,9","99","98","196","--","--","--","--","11,0","No","00:29:11","1","15,0","--","--","00:00:00","00:31:11","607","613"
Ciclismo en sala,2025-11-23 11:28:23,false,"Ciclismo en sala","0,00","15","00:02:59,4","--","--","--","--","--","--","--","--","--","--","103","0,7","--","91","144","--","--","--","--","11,0","No","00:02:59,4","1","17,0","--","--","00:00:00","00:02:59,4","593","594"
Ciclismo en sala,2025-11-18 07:57:10,false,"Ciclismo en sala","0,00","422","00:45:02","157","178","--","--","--","--","--","--","--","--","167","34,7","181","156","222","--","--","--","--","11,0","No","00:45:02","1","15,0","--","--","00:00:00","00:45:02","647","652"
Ciclismo en sala,2025-11-17 07:55:03,false,"Ciclismo en sala","0,00","400","00:45:10","152","173","--","--","--","--","--","--","--","--","163","33,1","165","148","260","--","--","--","--","14,0","No","00:45:10","1","16,0","--","--","00:00:00","00:45:10","693","695"
Ciclismo en sala,2025-11-14 07:32:13,false,"Ciclismo en sala","0,00","221","00:42:20","131","154","--","--","--","--","--","--","--","--","109","14,0","102","88","190","--","--","--","--","20,0","No","00:42:20","1","28,0","--","--","00:00:00","00:44:34","734","743"
Ciclismo en sala,2025-11-11 07:26:59,false,"Ciclismo en sala","0,00","365","01:00:08","129","154","--","--","--","--","--","--","--","--","117","23,0","118","101","237","--","--","--","--","13,0","No","01:00:08","1","18,0","--","--","00:00:00","01:01:18","655","658"
Ciclismo en sala,2025-11-07 17:56:36,false,"Ciclismo en sala","0,00","405","00:55:27","152","175","--","--","--","--","--","--","--","--","146","32,3","150","122","219","--","--","--","--","15,0","No","00:55:27","1","27,0","--","--","00:00:00","00:59:39","674","688"
Ciclismo en sala,2025-11-05 08:24:44,false,"Ciclismo en sala","0,00","233","00:26:18","144","167","--","--","--","--","--","--","--","--","164","19,4","163","148","258","--","--","--","--","13,0","No","00:26:18","1","17,0","--","--","00:00:00","00:26:18","660","664"
Ciclismo en sala,2025-11-04 08:22:38,false,"Ciclismo en sala","0,00","632","01:00:02","163","191","--","--","--","--","--","--","--","--","194","62,9","197","175","334","--","--","--","--","14,0","No","01:00:02","1","18,0","--","--","00:00:00","01:00:44","607","614"
Ciclismo en sala,2025-11-03 08:31:45,false,"Ciclismo en sala","0,00","450","00:51:44","145","182","--","--","--","--","--","--","--","--","168","40,4","167","145","326","--","--","--","--","16,0","No","00:51:44","1","20,0","--","--","00:00:00","00:54:29","584","589"
Ciclismo en sala,2025-10-30 08:40:20,false,"Ciclismo en sala","0,00","345","00:40:21","154","182","--","--","--","--","--","--","--","--","160","28,5","164","143","263","--","--","--","--","14,0","No","00:40:21","1","17,0","--","--","00:00:00","00:42:09","676","679"
Ciclismo en sala,2025-10-29 08:42:47,false,"Ciclismo en sala","0,00","251","00:27:41","151","176","--","--","--","--","--","--","--","--","171","22,3","162","151","255","--","--","--","--","14,0","No","00:27:41","1","15,0","--","--","00:00:00","00:28:02","718","719"
Ciclismo en sala,2025-10-28 08:45:54,false,"Ciclismo en sala","0,00","48","00:12:02","119","147","--","--","--","--","--","--","--","--","93","2,8","--","66","200","--","--","--","--","14,0","No","00:12:02","1","16,0","--","--","00:00:00","00:16:26","629","632"
Ciclismo en sala,2025-10-27 08:41:20,false,"Ciclismo en sala","0,00","323","00:40:02","148","169","--","--","--","--","--","--","--","--","152","25,4","151","135","243","--","--","--","--","16,0","No","00:40:02","1","23,0","--","--","00:00:00","00:40:02","601","605"
Ciclismo en sala,2025-10-23 08:52:16,false,"Ciclismo en sala","0,00","210","00:25:03","142","164","--","--","--","--","--","--","--","--","153","16,2","134","140","229","--","--","--","--","15,0","No","00:25:03","1","19,0","--","--","00:00:00","00:29:50","701","985"
